StartX	StartY	EndX	EndY	DiffX	DiffY	Distance	MaxVelocityX	MaxVelocityY	AvgVelocityX	AvgVelocityY	STDVelocityX	STDVelocityY	SampleTime	Accel_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	HPF_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	LPF_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	Gravity_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	Magnet_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	Gyro_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM
546.46	215.85	699.08	270.3	152.62	54.45	162.04	1720.6	2287.9	225.65	128.58	583.04	882.76	1358	0.12194	-1.894	0.49147	0.58401	-2.0054	2.2697	10.695	11.117	0.98532	-0.2257	-1.166	-1.1962	0.19785	0.044406	0.45282	0.4622	0.039144	0.0019719	0.20505	0.21363	-0.11405	-1.0137	0.49879	0.27447	-0.84385	-0.092291	1.2486	1.5122	0.96543	-0.1365	-1.1674	-1.1276	0.22765	0.037336	0.44661	0.49381	0.051823	0.001394	0.19946	0.24385	0.70673	-1.3545	0.46405	0.63684	-1.3303	2.3435	9.6965	10.064	0.89936	0.33759	-1.1607	-1.208	0.017035	0.015889	0.095535	0.09036	0.00029	0.000252	0.0091269	0.0081649	-0.62879	1.029	-0.95854	-0.55871	-1.1653	2.3639	9.4458	9.8067	-0.85121	1.299	-0.81539	-0.46798	0.033114	0.011318	0.0066542	0.000000863	0.0010966	0.000128	0.0000443	7.45E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.16	-29.28	-37.84	48.123	0	-0.0000477	1.7321	1.2491	0.06	0.06	0.034642	0.046722	0.0036	0.0036001	0.0012001	0.0021829
539.92	244.46	681.74	255.49	141.82	11.032	142.25	1383.7	1731.5	190.36	139.5	543.06	815.78	1374	2.0047	4.2241	-1.7858	-1.7665	-1.8688	2.4667	10.47	10.921	1.3241	1.8443	-0.03668	-0.11233	0.22251	0.088615	0.43532	0.42102	0.049509	0.0078526	0.18951	0.17726	4.2408	6.9667	6.6835	6.7947	-0.83872	0.44179	2.3774	2.6615	-1.8958	2.6375	2.5657	2.5937	0.28399	0.97568	3.4784	3.537	0.080651	0.95195	12.099	12.51	6.815	6.9591	6.9797	6.9836	-1.1979	2.1133	8.5683	8.9061	2.6011	-2.6354	-2.6407	-2.6417	0.40318	0.69856	2.8792	2.9895	0.16255	0.48798	8.2899	8.9371	1.4255	0.4031	-0.00683	0.016279	-1.1926	2.3761	9.4392	9.8067	1.5831	1.2406	-0.8213	-0.66823	0.044682	0.048883	0.0074721	0.000000971	0.0019965	0.0023895	0.0000558	9.42E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2.2272	1.6761	-5.55	-29.43	-37.455	47.956	-2	2	-1.1294	-0.56133	0.06	0.059999	0.075497	0.033284	0.0036	0.0035999	0.0056998	0.0011078
919.31	398.19	1038.1	452.88	118.76	54.686	130.74	1371.6	1705.3	171.99	97.391	568.52	753.55	1351	0.62697	-1.1938	-1.7522	-1.4296	-1.9122	2.4118	10.405	10.853	1.2018	-0.52167	-0.18235	-0.37101	0.10415	0.10268	0.32003	0.28154	0.010847	0.010544	0.10242	0.079265	2.2306	-0.78506	-1.7944	-0.39606	-0.72902	0.40756	0.87876	1.2416	1.4691	-0.69494	-0.1595	-0.62088	0.096435	0.10039	0.31851	0.18662	0.0092997	0.010078	0.10145	0.034826	-1.9336	1.4658	-1.5716	-1.4998	-1.3289	2.0857	9.7022	10.013	0.52513	1.4048	-0.27457	-0.34011	0.030822	0.031113	0.06526	0.057339	0.00095	0.000968	0.0042589	0.0032878	0.92673	0.54524	-0.19045	-1.2136	-1.1761	2.0155	9.5248	9.8067	1.1657	1.2909	-1.0493	-0.39425	0.032418	0.036299	0.0041321	0.000000926	0.0010509	0.0013176	0.0000171	8.57E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.72	-28.42	-37.8	47.767	0	-0.93523	0	-1.0435	0.06	0.1833	0.060001	0.12973	0.0036	0.0336	0.0036002	0.016831
577.85	230.95	727.4	246.82	149.55	15.869	150.39	2180.7	1955.5	207.09	107.84	723.33	934.08	1306	-2.1578	0.22026	-1.2669	-1.0191	-1.9217	2.3798	10.175	10.63	0.49908	0.96322	-0.65361	-0.78503	0.30638	0.089172	0.61039	0.59067	0.093867	0.0079517	0.37257	0.34889	-2.1001	-2.1341	-1.3075	-1.1086	-0.6209	-0.027679	0.75839	1.0719	0.51457	0.0074568	-0.63068	-0.76186	0.29291	0.061121	0.6083	0.48437	0.085798	0.0037358	0.37003	0.23461	1.0433	2.9937	-1.0942	-1.0593	-1.425	2.402	9.5686	9.9683	1.2078	1.7174	-0.73969	-0.76629	0.080503	0.046259	0.12386	0.11722	0.0064807	0.0021399	0.015341	0.01374	0.33262	1.0138	-1.4353	-1.1314	-1.3022	2.4063	9.4171	9.8067	1.0467	1.3427	-0.077314	0.25571	0.038777	0.03235	0.005292	0.000000817	0.0015037	0.0010465	0.000028	6.67E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.68	-29.44	-37.26	47.826	1.7321	1.7321	-0.0000477	1.24	0.034641	0.034641	0.12	0.096868	0.0012	0.0012	0.0144	0.0093835
436.56	235.2	586.58	284.46	150.02	49.259	157.9	1654.4	1893.2	219.92	77.174	605.04	868.54	1373	4.2496	2.5641	-0.4951	-0.75972	-1.7047	2.4836	10.183	10.624	1.9148	1.2538	0.17	0.16633	0.28602	0.093572	0.44746	0.43174	0.08181	0.0087557	0.20022	0.1864	2.6988	5.9681	5.727	5.779	-0.62725	0.44052	2.3444	2.5594	-1.5626	2.441	2.3771	2.3907	0.28172	1.0846	3.7745	3.8656	0.079367	1.1764	14.247	14.943	5.9374	5.9953	5.9815	5.986	-1.2029	2.1312	8.3078	8.661	2.4331	-2.4483	-2.4446	-2.4458	0.47739	0.78422	3.0917	3.2243	0.22791	0.61501	9.5588	10.396	-0.088914	-0.65585	-0.05733	0.59356	-1.2986	2.4534	9.4054	9.8067	-1.1308	0.52536	-1.137	0.22348	0.056944	0.0080506	0.0086522	0.000000745	0.0032426	0.0000648	0.0000749	5.55E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.8	-29.88	-36.92	47.849	1.7321	0	-1.7321	1.7207	0.034641	0.059999	0.034642	0.021199	0.0012	0.0035999	0.0012001	0.000449
687.7	187.06	813.71	220.33	126.01	33.272	130.33	1791.2	2035.5	172.46	91.388	658.67	865.59	1290	-1.4271	3.3067	-1.1616	-1.0985	-1.7861	2.3942	10.168	10.608	0.50406	1.5992	-0.69063	-0.7474	0.38583	0.29553	0.7265	0.72492	0.14887	0.087339	0.5278	0.52551	0.6074	7.7205	7.0238	7.362	-0.47687	0.26179	1.9604	2.2373	-0.29041	2.7612	2.5883	2.6745	0.42747	1.1276	3.4886	3.5545	0.18273	1.2714	12.17	12.634	7.3493	7.8566	7.9259	7.9365	-1.4046	2.1848	8.5999	8.9844	2.6833	-2.7937	-2.8111	-2.8136	0.47414	0.63939	2.6377	2.7519	0.22481	0.40881	6.9574	7.5731	1.9603	0.82183	-0.16088	-0.87573	-1.4852	2.4504	9.3785	9.8067	1.7128	1.437	-0.90228	0.7008	0.043115	0.051219	0.0074952	0.00000111	0.0018589	0.0026233	0.0000562	1.24E-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	-1.6996	2.2271	3.3048	-5.34	-29.715	-36.495	47.365	0.94066	-0.48156	-1.1293	1.7476	0.17664	0.13304	0.075498	0.076497	0.0312	0.0177	0.0057	0.0058517
495.32	293.54	626.11	324.1	130.79	30.558	134.31	2033.9	1619.1	248.02	75.038	619.73	872.98	1328	0.83732	1.9525	-1.8322	-1.958	-1.968	2.6751	10.368	10.893	1.1498	1.2024	-0.20274	-0.22853	0.40841	0.1002	0.47351	0.49257	0.1668	0.01004	0.22421	0.24263	-0.35618	5.94	5.7279	5.7054	-0.86967	0.69	2.5175	2.8535	0.45145	2.4336	2.375	2.3688	0.30822	1.0616	3.6611	3.7335	0.095002	1.127	13.404	13.939	5.9365	5.9984	5.9838	5.9854	-1.2723	2.1231	8.3545	8.7137	2.4331	-2.4491	-2.4453	-2.4457	0.50019	0.76052	3.12	3.2491	0.25019	0.57839	9.7347	10.557	-1.4767	-0.84789	-1.462	-0.65784	-1.318	2.3888	9.4194	9.8067	-0.4562	0.50073	-0.10839	0.0029702	0.022583	0.016467	0.0039402	0.000000955	0.00051	0.000271	0.0000155	9.12E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.2893	0.3429	-1.5977	-3.2314	-5.625	-30.105	-36.915	47.965	-0.85456	-0.75286	0.32071	-0.48811	0.057446	0.10247	0.21	0.20971	0.0033	0.0105	0.0441	0.043977
730.82	296.79	851.17	341.97	120.35	45.188	128.55	1788.8	1620.4	180.14	122.22	632.45	819.66	1336	2.2575	3.6415	-1.1723	-0.98476	-2.1739	2.5762	10.489	11.019	1.2128	1.896	-0.27102	-0.25272	0.19828	0.14816	0.29366	0.29444	0.039315	0.021951	0.086235	0.086695	3.8227	3.971	3.9332	3.9402	-0.88217	0.94963	3.4334	3.7029	-1.9509	1.991	1.9804	1.9824	0.67888	1.2321	4.7994	4.9688	0.46088	1.5181	23.034	24.689	3.9799	3.9839	3.9949	3.9958	-1.4682	1.8165	7.7422	8.0872	1.994	-1.9951	-1.9985	-1.9987	0.72634	0.83846	3.7459	3.9058	0.52757	0.70301	14.032	15.256	-0.40815	-0.29336	-1.631	-0.51165	-1.7224	2.172	9.4066	9.8067	0.32436	0.91988	-0.46953	-0.00000019	0.033763	0.043735	0.0061864	0.000000924	0.00114	0.0019127	0.0000383	8.53E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.82	-29.68	-37.6	48.145	-0.58559	0.93519	0.93519	1.7311	0.151	0.091652	0.091652	0.02224	0.0228	0.0084	0.0084	0.000495
514.14	217.91	680.2	220.74	166.07	2.8317	166.09	1821	1963.2	249.44	107.69	766.24	922.65	1276	2.1112	3.8143	-1.787	-1.4932	-1.9984	2.3862	10.455	10.915	1.4811	1.8279	-0.70555	-0.73817	0.38763	0.1737	0.38363	0.37599	0.15025	0.030171	0.14717	0.14137	1.5061	5.9679	5.8764	5.9089	-0.78626	0.29703	2.6476	2.9004	-0.61808	2.4412	2.4155	2.425	0.30421	1.1878	3.579	3.6712	0.092543	1.4109	12.809	13.478	5.9032	5.9565	5.9915	5.9943	-1.3694	2.1486	8.3366	8.7176	2.424	-2.4378	-2.4473	-2.448	0.54543	0.78693	3.1117	3.2544	0.2975	0.61926	9.6824	10.591	0.7876	-0.33718	-0.84908	-0.96016	-1.4512	2.5161	9.3665	9.8067	1.3843	1.0947	-0.8741	0.66603	0.024224	0.047712	0.0095521	0.000000932	0.000587	0.0022764	0.0000912	8.69E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.9	-30.16	-36.74	47.693	0	-1.7321	-0.93529	1.5286	0.06	0.069283	0.091652	0.11199	0.0036	0.0048001	0.0084001	0.012542
607.11	273.13	783.68	308.88	176.57	35.75	180.15	1898.4	2378.9	171.96	126.54	711.93	906.41	1378	2.3048	-2.1409	1.1117	0.54724	-2.3288	2.2617	10.563	11.055	1.6602	-0.03986	-1.2278	-0.84999	0.27573	0.13207	0.22533	0.19447	0.076029	0.017441	0.050774	0.037819	2.6494	-1.3589	1.0642	-0.58194	-0.5476	0.19832	1.1431	1.3151	1.749	-0.041357	-1.2074	-0.44697	0.25039	0.13313	0.21935	0.16847	0.062693	0.017724	0.048115	0.028382	1.1162	1.9628	1.2694	0.61891	-1.8907	2.1031	9.6487	10.055	1.2544	1.5874	-1.2944	-0.87746	0.077048	0.040396	0.049888	0.039216	0.0059364	0.0016319	0.0024888	0.0015379	-1.1733	-0.014585	-1.3685	-1.4455	-1.7809	2.0665	9.4195	9.8067	-0.025098	0.79357	-0.48582	0.091599	0.031195	0.029466	0.006045	0.000000914	0.000973	0.000868	0.0000365	8.35E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928	-1.5977	-1.1998	2.5971	-4.725	-29.325	-37.41	47.768	-0.56	-0.3207	0	1.6128	0.15	0.21	0.077459	0.17026	0.0225	0.0441	0.006	0.028987
